service_id,date,exception_type
20240105_MTWTF--_66,20240304,1
20240105_MTWTF--_67,20240304,1
20240202_M------_9901,20240304,1
20240202_M---F--_9902,20240304,1
20220522_MTWTF--_1,20240305,1
20220522_MTWTF--_2,20240305,1
20220522_MTWTF--_3,20240305,1
20230820_MTWTF--_42,20240305,1
20230821_MTWTF--_48,20240305,1
20230821_MTWTF--_49,20240305,1
20240101_MT--F--_59,20240305,1
20240101_MT-TF--_60,20240305,1
20240101_MTW-F--_61,20240305,1
20240101_MTWT---_62,20240305,1
20240101_MTWTF--_63,20240305,1
20240101_MTWTF--_99663,20240305,1
20240105_MTWTF--_66,20240305,1
20240105_MTWTF--_67,20240305,1
20220522_MTWTF--_1,20240306,1
20220522_MTWTF--_2,20240306,1
20220522_MTWTF--_3,20240306,1
20230820_MTWTF--_42,20240306,1
20230821_MTWTF--_48,20240306,1
20230821_MTWTF--_49,20240306,1
20240101_--W----_56,20240306,1
20240101_--WT---_57,20240306,1
20240101_M-W-F--_58,20240306,1
20240101_MTW-F--_61,20240306,1
20240101_MTWT---_62,20240306,1
20240101_MTWTF--_63,20240306,1
20240101_MTWTF--_99663,20240306,1
20240102_M-W-F--_95,20240306,1
20240105_MTWTF--_66,20240306,1
20240105_MTWTF--_67,20240306,1
20220522_MTWTF--_1,20240307,1
20220522_MTWTF--_2,20240307,1
20220522_MTWTF--_3,20240307,1
20230820_MTWTF--_42,20240307,1
20230821_MTWTF--_48,20240307,1
20230821_MTWTF--_49,20240307,1
20240101_---T---_55,20240307,1
20240101_--WT---_57,20240307,1
20240101_MT-TF--_60,20240307,1
20240101_MTWT---_62,20240307,1
20240101_MTWTF--_63,20240307,1
20240101_MTWTF--_99663,20240307,1
20240102_---T---_94,20240307,1
20240105_MTWTF--_66,20240307,1
20240105_MTWTF--_67,20240307,1
20220522_MTWTF--_1,20240308,1
20220522_MTWTF--_2,20240308,1
20220522_MTWTF--_3,20240308,1
20230820_----F--_41,20240308,1
20230820_MTWTF--_42,20240308,1
20230821_MTWTF--_48,20240308,1
20230821_MTWTF--_49,20240308,1
20240101_----F--_54,20240308,1
20240101_----F--_69,20240308,1
20240101_M-W-F--_58,20240308,1
20240101_MT--F--_59,20240308,1
20240101_MT-TF--_60,20240308,1
20240101_MTW-F--_61,20240308,1
20240101_MTWTF--_63,20240308,1
20240101_MTWTF--_99663,20240308,1
20240102_M-W-F--_95,20240308,1
20240105_MTWTF--_66,20240308,1
20240105_MTWTF--_67,20240308,1
20240202_M---F--_9902,20240308,1
20220522_-----S-_5,20240309,1
20230820_-----S-_40,20240309,1
20230820_-----S-_44,20240309,1
20230821_-----S-_50,20240309,1
20240101_-----S-_53,20240309,1
20240101_-----S-_99653,20240309,1
20240101_-----S-_64,20240309,1
20220522_------S_4,20240310,1
20230820_------S_39,20240310,1
20230820_------S_43,20240310,1
20240101_------S_52,20240310,1
20240102_------S_65,20240310,1
20240102_------S_93,20240310,1
20220522_MTWTF--_1,20240311,1
20220522_MTWTF--_2,20240311,1
20220522_MTWTF--_3,20240311,1
20230820_MTWTF--_42,20240311,1
20230821_MTWTF--_48,20240311,1
20230821_MTWTF--_49,20240311,1
20240101_M-W-F--_58,20240311,1
20240101_MT--F--_59,20240311,1
