route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.4,20230820_-----S-_40,525632,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525633,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525636,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525659,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525660,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525661,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525662,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525663,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525711,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525562,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525563,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525564,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525565,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525566,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525567,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525568,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525569,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525570,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525571,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525572,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525573,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525574,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525575,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525576,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525577,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525578,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_44,525634,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525635,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525638,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525639,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525640,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525664,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525665,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525666,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525667,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525668,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525696,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525697,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525698,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525699,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525700,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_44,525701,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_MTWTF--_42,525482,Berg/Fell,,0,4171_4-E,4_f4_1005361_1_2
ST.4,20230820_MTWTF--_42,525483,Berg/Fell,,0,4167_4-C,4_f4_1005361_1_2
ST.4,20230820_MTWTF--_42,525484,Berg/Fell,,0,4164_4-B,4_f4_1005361_1_2
ST.4,20230820_MTWTF--_42,525485,Berg/Fell,,0,4167_4-C,4_f4_1005361_1_2
ST.4,20230820_MTWTF--_42,525486,Berg/Fell,,0,4161_4-A,4_f4_1005361_1_2
